PID,ExpProgAca,ExpProgInd,ExpSEAca,ExpSEInd,ExpREAca,ExpREInd
P1,6 to 12 months,more than 12 months,more than 12 months,up to 6 months,up to 6 months,no experience
P2,up to 6 months,no experience,6 to 12 months,no experience,up to 6 months,no experience
P4,more than 12 months,more than 12 months,more than 12 months,more than 12 months,6 to 12 months,6 to 12 months
P5,more than 12 months,no experience,more than 12 months,no experience,6 to 12 months,no experience
P6,6 to 12 months,more than 12 months,more than 12 months,more than 12 months,more than 12 months,more than 12 months
P7,more than 12 months,no experience,more than 12 months,more than 12 months,6 to 12 months,no experience
P8,no experience,more than 12 months,no experience,more than 12 months,no experience,more than 12 months
P9,more than 12 months,more than 12 months,more than 12 months,more than 12 months,no experience,no experience
A1,more than 12 months,more than 12 months,6 to 12 months,no experience,up to 6 months,up to 6 months
A2,more than 12 months,no experience,more than 12 months,no experience,6 to 12 months,no experience
A4,more than 12 months,more than 12 months,up to 6 months,more than 12 months,up to 6 months,6 to 12 months
A5,6 to 12 months,6 to 12 months,6 to 12 months,up to 6 months,up to 6 months,up to 6 months
A7,more than 12 months,more than 12 months,more than 12 months,more than 12 months,more than 12 months,more than 12 months
A8,more than 12 months,more than 12 months,more than 12 months,no experience,up to 6 months,no experience
A10,more than 12 months,no experience,more than 12 months,no experience,more than 12 months,no experience