PID,RID,MAct,MEnt,MAsc
P1,R1,0,2,2
P1,R2,0,1,2
P1,R3,0,1,2
P1,R4,0,0,0
P1,R5,0,1,2
P1,R6,0,0,1
P1,R7,0,1,0
P2,R1,0,0,0
P2,R2,0,0,0
P2,R3,0,0,0
P2,R4,0,0,0
P2,R5,0,0,0
P2,R6,0,0,0
P2,R7,1,0,1
P4,R1,0,0,1
P4,R2,0,0,1
P4,R3,1,0,2
P4,R4,0,0,0
P4,R5,1,1,1
P4,R6,0,0,1
P4,R7,1,0,2
P5,R1,0,2,2
P5,R2,0,1,2
P5,R3,0,0,2
P5,R4,0,0,1
P5,R5,0,1,2
P5,R6,0,0,1
P5,R7,0,0,1
P6,R1,0,0,0
P6,R2,0,0,0
P6,R3,0,0,2
P6,R4,0,0,0
P6,R5,0,1,1
P6,R6,0,0,3
P6,R7,1,0,1
P7,R1,0,0,1
P7,R2,0,0,1
P7,R3,0,0,2
P7,R4,0,1,1
P7,R5,0,1,1
P7,R6,0,0,3
P7,R7,1,0,2
P8,R1,0,0,1
P8,R2,0,0,1
P8,R3,0,0,2
P8,R4,0,0,1
P8,R5,0,1,1
P8,R6,0,0,1
P8,R7,1,0,1
P9,R1,0,0,0
P9,R2,0,0,0
P9,R3,0,0,2
P9,R4,0,0,1
P9,R5,0,1,1
P9,R6,0,0,3
P9,R7,1,0,1
A1,R1,0,0,0
A1,R2,0,0,0
A1,R3,0,0,2
A1,R4,0,0,0
A1,R5,0,1,1
A1,R6,0,0,0
A1,R7,0,0,0
A2,R1,0,0,0
A2,R2,0,0,0
A2,R3,1,0,1
A2,R4,0,1,0
A2,R5,0,2,1
A2,R6,0,0,0
A2,R7,0,0,1
A4,R1,0,1,0
A4,R2,0,1,0
A4,R3,1,0,0
A4,R4,0,0,0
A4,R5,0,1,1
A4,R6,0,0,0
A4,R7,0,0,0
A5,R1,0,0,1
A5,R2,0,0,1
A5,R3,1,1,2
A5,R4,0,0,0
A5,R5,0,0,1
A5,R6,0,0,0
A5,R7,0,0,1
A7,R1,0,0,1
A7,R2,0,0,1
A7,R3,0,0,2
A7,R4,0,0,0
A7,R5,0,0,1
A7,R6,0,0,1
A7,R7,0,0,1
A8,R1,0,0,0
A8,R2,0,0,2
A8,R3,0,0,2
A8,R4,0,0,1
A8,R5,0,0,0
A8,R6,0,0,1
A8,R7,0,0,2
A10,R1,0,0,0
A10,R2,0,0,0
A10,R3,0,0,0
A10,R4,0,0,0
A10,R5,0,1,1
A10,R6,0,0,0
A10,R7,0,0,0